fetched_utc,quote_utc,root,expiry,type,strike,spot,bid,bid_size,ask,ask_size,last,volume,open_interest,iv,delta,gamma,theta,vega,rho
2026-09-02T17:13:59Z,2026-09-02 17:13:31,SPXW,2026-09-02,C,6900.0,7666.4399,766.1,7.0,767.2,7.0,752.44,0.0,0.0,0.0,0.9996,0.0,-0.025,0.0021,0.0
2026-09-02T17:13:59Z,2026-09-02 17:13:31,SPXW,2026-09-02,P,6900.0,7666.4399,0.0,0.0,0.05,2311.0,0.05,0.0,518.0,1.7089,-0.0004,0.0,-0.025,0.0021,0.0
2026-09-02T17:13:59Z,2026-09-02 17:13:31,SPXW,2026-09-02,C,6925.0,7666.4399,741.1,7.0,742.2,7.0,0.0,0.0,0.0,0.0,0.9996,0.0,-0.025,0.0022,0.0
2026-09-02T17:13:59Z,2026-09-02 17:13:31,SPXW,2026-09-02,P,6925.0,7666.4399,0.0,0.0,0.05,2150.0,0.05,0.0,221.0,1.6542,-0.0004,0.0,-0.025,0.0022,0.0
2026-09-02T17:13:59Z,2026-09-02 17:13:31,SPXW,2026-09-02,C,6950.0,7666.4399,716.1,7.0,717.3,7.0,0.0,0.0,0.0,0.0,0.9995,0.0,-0.025,0.0022,0.0
2026-09-02T17:13:59Z,2026-09-02 17:13:31,SPXW,2026-09-02,P,6950.0,7666.4399,0.0,0.0,0.05,1643.0,0.05,0.0,141.0,1.5995,-0.0005,0.0,-0.025,0.0022,0.0
2026-09-02T17:13:59Z,2026-09-02 17:13:31,SPXW,2026-09-02,C,6975.0,7666.4399,691.1,7.0,692.3,7.0,0.0,0.0,0.0,0.0,0.9995,0.0,-0.025,0.0023,0.0
2026-09-02T17:13:59Z,2026-09-02 17:13:31,SPXW,2026-09-02,P,6975.0,7666.4399,0.0,0.0,0.05,2176.0,0.05,0.0,242.0,1.545,-0.0005,0.0,-0.025,0.0023,0.0
2026-09-02T17:13:59Z,2026-09-02 17:13:31,SPXW,2026-09-02,C,7000.0,7666.4399,666.1,7.0,667.3,7.0,487.6,0.0,1.0,0.0,0.9995,0.0,-0.025,0.0024,0.0
2026-09-02T17:13:59Z,2026-09-02 17:13:31,SPXW,2026-09-02,P,7000.0,7666.4399,0.0,0.0,0.05,2096.0,0.03,2.0,1519.0,1.4905,-0.0005,0.0,-0.025,0.0024,0.0
