fetched_utc,quote_utc,root,expiry,type,strike,spot,bid,bid_size,ask,ask_size,last,volume,open_interest,iv,delta,gamma,theta,vega,rho
2026-08-29T02:35:52Z,2026-08-29 02:35:38,SPXW,2026-08-31,C,6945.0,7711.7598,755.1,1.0,775.5,1.0,0.0,0.0,0.0,0.0,0.9987,0.0,-0.0834,0.0304,0.1899
2026-08-29T02:35:52Z,2026-08-29 02:35:38,SPXW,2026-08-31,P,6945.0,7711.7598,0.05,588.0,0.1,17.0,0.07,1.0,186.0,0.3812,-0.0012,0.0,-0.0835,0.0305,-0.0002
2026-08-29T02:35:52Z,2026-08-29 02:35:38,SPXW,2026-08-31,C,6950.0,7711.7598,752.9,1.0,771.0,1.0,721.6,0.0,116.0,0.0,0.9987,0.0,-0.084,0.0308,0.19
2026-08-29T02:35:52Z,2026-08-29 02:35:38,SPXW,2026-08-31,P,6950.0,7711.7598,0.05,596.0,0.1,17.0,0.05,37.0,1220.0,0.3788,-0.0013,0.0,-0.0841,0.0308,-0.0002
2026-08-29T02:35:52Z,2026-08-29 02:35:38,SPXW,2026-08-31,C,6955.0,7711.7598,748.0,1.0,766.0,1.0,0.0,0.0,0.0,0.0,0.9987,0.0,-0.0846,0.0312,0.1901
2026-08-29T02:35:52Z,2026-08-29 02:35:38,SPXW,2026-08-31,P,6955.0,7711.7598,0.05,619.0,0.1,17.0,0.07,11.0,264.0,0.3764,-0.0013,0.0,-0.0847,0.0312,-0.0003
2026-08-29T02:35:52Z,2026-08-29 02:35:38,SPXW,2026-08-31,C,6960.0,7711.7598,743.0,1.0,761.0,1.0,677.4,0.0,32.0,0.0,0.9987,0.0,-0.0852,0.0315,0.1903
2026-08-29T02:35:52Z,2026-08-29 02:35:38,SPXW,2026-08-31,P,6960.0,7711.7598,0.05,626.0,0.1,17.0,0.05,18.0,204.0,0.374,-0.0013,0.0,-0.0853,0.0316,-0.0003
2026-08-29T02:35:52Z,2026-08-29 02:35:38,SPXW,2026-08-31,C,6965.0,7711.7598,737.9,1.0,756.0,1.0,0.0,0.0,0.0,0.0,0.9987,0.0,-0.0858,0.0319,0.1904
2026-08-29T02:35:52Z,2026-08-29 02:35:38,SPXW,2026-08-31,P,6965.0,7711.7598,0.05,612.0,0.1,17.0,0.07,9.0,320.0,0.3715,-0.0013,0.0,-0.0859,0.0319,-0.0003
2026-08-29T02:35:52Z,2026-08-29 02:35:38,SPXW,2026-08-31,C,6970.0,7711.7598,732.9,1.0,751.0,1.0,637.95,0.0,16.0,0.366,0.9986,0.0,-0.0865,0.0323,0.1905
2026-08-29T02:35:52Z,2026-08-29 02:35:38,SPXW,2026-08-31,P,6970.0,7711.7598,0.05,618.0,0.1,17.0,0.05,6.0,55.0,0.3691,-0.0013,0.0,-0.0865,0.0323,-0.0003
2026-08-29T02:35:52Z,2026-08-29 02:35:38,SPXW,2026-08-31,C,6975.0,7711.7598,727.9,1.0,746.0,1.0,593.35,0.0,22.0,0.0,0.9986,0.0,-0.0871,0.0326,0.1907
2026-08-29T02:35:52Z,2026-08-29 02:35:38,SPXW,2026-08-31,P,6975.0,7711.7598,0.05,643.0,0.1,17.0,0.05,28.0,5581.0,0.3667,-0.0013,0.0,-0.0871,0.0327,-0.0003
2026-08-29T02:35:52Z,2026-08-29 02:35:38,SPXW,2026-08-31,C,6980.0,7711.7598,723.1,1.0,741.0,1.0,541.15,0.0,33.0,0.0,0.9986,0.0,-0.0877,0.033,0.1908
2026-08-29T02:35:52Z,2026-08-29 02:35:38,SPXW,2026-08-31,P,6980.0,7711.7598,0.05,611.0,0.15,382.0,0.08,1.0,115.0,0.3643,-0.0014,0.0,-0.0878,0.0331,-0.0003
2026-08-29T02:35:52Z,2026-08-29 02:35:38,SPXW,2026-08-31,C,6985.0,7711.7598,717.9,1.0,736.0,1.0,0.0,0.0,0.0,0.553,0.9986,0.0,-0.0884,0.0334,0.1909
2026-08-29T02:35:52Z,2026-08-29 02:35:38,SPXW,2026-08-31,P,6985.0,7711.7598,0.05,613.0,0.15,380.0,0.06,5.0,146.0,0.3619,-0.0014,0.0,-0.0884,0.0335,-0.0003
2026-08-29T02:35:52Z,2026-08-29 02:35:38,SPXW,2026-08-31,C,6990.0,7711.7598,712.7,1.0,731.0,1.0,619.8,0.0,121.0,0.3554,0.9986,0.0,-0.089,0.0338,0.1911
2026-08-29T02:35:52Z,2026-08-29 02:35:38,SPXW,2026-08-31,P,6990.0,7711.7598,0.05,615.0,0.15,385.0,0.05,16.0,199.0,0.3595,-0.0014,0.0,-0.089,0.0339,-0.0003
2026-08-29T02:35:52Z,2026-08-29 02:35:38,SPXW,2026-08-31,C,6995.0,7711.7598,705.1,1.0,725.5,1.0,0.0,0.0,0.0,0.0,0.9986,0.0,-0.0896,0.0342,0.1912
2026-08-29T02:35:52Z,2026-08-29 02:35:38,SPXW,2026-08-31,P,6995.0,7711.7598,0.05,617.0,0.15,383.0,0.09,9.0,69.0,0.3571,-0.0014,0.0,-0.0897,0.0343,-0.0003
