fetched_utc,quote_utc,root,expiry,type,strike,spot,bid,bid_size,ask,ask_size,last,volume,open_interest,iv,delta,gamma,theta,vega,rho
2026-09-07T18:18:39Z,2026-09-07 18:09:44,SPXW,2026-09-08,C,6950.0,7718.6001,742.3,2.0,757.3,2.0,732.5,0.0,0.0,1.0806,0.9836,0.0001,-1.7899,0.1676,0.1871
2026-09-07T18:18:39Z,2026-09-07 18:09:44,SPXW,2026-09-08,P,6950.0,7718.6001,0.0,0.0,0.05,42.0,0.19,1054.0,1092.0,0.5365,-0.0004,0.0,-0.0248,0.0072,-0.0001
2026-09-07T18:18:39Z,2026-09-07 18:09:44,SPXW,2026-09-08,C,6975.0,7718.6001,717.3,2.0,732.3,2.0,0.0,0.0,0.0,1.0494,0.9832,0.0001,-1.7899,0.1717,0.1877
2026-09-07T18:18:39Z,2026-09-07 18:09:44,SPXW,2026-09-08,P,6975.0,7718.6001,0.0,0.0,0.05,42.0,0.05,1097.0,3500.0,0.5188,-0.0005,0.0,-0.0248,0.0075,-0.0001
2026-09-07T18:18:39Z,2026-09-07 18:09:44,SPXW,2026-09-08,C,7000.0,7718.6001,692.3,2.0,707.3,2.0,732.18,0.0,20.0,1.0183,0.9827,0.0001,-1.7899,0.176,0.1883
2026-09-07T18:18:39Z,2026-09-07 18:09:44,SPXW,2026-09-08,P,7000.0,7718.6001,0.0,0.0,0.1,310.0,0.05,345.0,866.0,0.528,-0.0008,0.0,-0.0497,0.0132,-0.0002
2026-09-07T18:18:39Z,2026-09-07 18:09:44,SPXW,2026-09-08,C,7020.0,7718.6001,672.3,2.0,687.3,2.0,0.0,0.0,0.0,0.9934,0.9824,0.0001,-1.7899,0.1796,0.1888
2026-09-07T18:18:39Z,2026-09-07 18:09:44,SPXW,2026-09-08,P,7020.0,7718.6001,0.0,0.0,0.1,293.0,0.2,56.0,73.0,0.5131,-0.0009,0.0,-0.0497,0.0136,-0.0002
2026-09-07T18:18:39Z,2026-09-07 18:09:44,SPXW,2026-09-08,C,7025.0,7718.6001,667.3,2.0,682.3,2.0,0.0,0.0,0.0,0.9871,0.9823,0.0001,-1.7899,0.1805,0.1889
2026-09-07T18:18:39Z,2026-09-07 18:09:44,SPXW,2026-09-08,P,7025.0,7718.6001,0.0,0.0,0.1,287.0,0.25,94.0,256.0,0.5094,-0.0009,0.0,-0.0497,0.0136,-0.0002
