fetched_utc,quote_utc,root,expiry,type,strike,spot,bid,bid_size,ask,ask_size,last,volume,open_interest,iv,delta,gamma,theta,vega,rho
2026-09-04T16:55:19Z,2026-09-04 16:54:30,SPXW,2026-09-04,C,6960.0,7723.3198,752.4,1.0,773.6,1.0,779.8,1.0,1.0,1.9649,0.9996,0.0,-0.025,0.0023,0.0
2026-09-04T16:55:19Z,2026-09-04 16:54:30,SPXW,2026-09-04,P,6960.0,7723.3198,0.0,0.0,0.05,977.0,0.05,0.0,286.0,1.6055,-0.0004,0.0,-0.025,0.0023,0.0
2026-09-04T16:55:19Z,2026-09-04 16:54:30,SPXW,2026-09-04,C,6970.0,7723.3198,742.4,1.0,763.6,1.0,774.82,0.0,2.0,1.9403,0.9996,0.0,-0.025,0.0023,0.0
2026-09-04T16:55:19Z,2026-09-04 16:54:30,SPXW,2026-09-04,P,6970.0,7723.3198,0.0,0.0,0.05,916.0,0.05,1.0,147.0,1.5848,-0.0004,0.0,-0.025,0.0023,0.0
2026-09-04T16:55:19Z,2026-09-04 16:54:30,SPXW,2026-09-04,C,6975.0,7723.3198,737.4,1.0,758.6,1.0,751.9,1.0,3.0,1.928,0.9996,0.0,-0.025,0.0023,0.0
2026-09-04T16:55:19Z,2026-09-04 16:54:30,SPXW,2026-09-04,P,6975.0,7723.3198,0.0,0.0,0.05,1166.0,0.05,0.0,264.0,1.5745,-0.0004,0.0,-0.025,0.0023,0.0
2026-09-04T16:55:19Z,2026-09-04 16:54:30,SPXW,2026-09-04,C,6980.0,7723.3198,732.4,1.0,753.6,1.0,765.52,0.0,1.0,1.9157,0.9996,0.0,-0.025,0.0023,0.0
2026-09-04T16:55:19Z,2026-09-04 16:54:30,SPXW,2026-09-04,P,6980.0,7723.3198,0.0,0.0,0.05,1085.0,0.05,0.0,284.0,1.5642,-0.0004,0.0,-0.025,0.0023,0.0
2026-09-04T16:55:19Z,2026-09-04 16:54:30,SPXW,2026-09-04,C,6990.0,7723.3198,722.4,1.0,743.6,1.0,755.41,0.0,2.0,1.8912,0.9996,0.0,-0.025,0.0023,0.0
2026-09-04T16:55:19Z,2026-09-04 16:54:30,SPXW,2026-09-04,P,6990.0,7723.3198,0.0,0.0,0.05,1300.0,0.05,427.0,673.0,1.5435,-0.0004,0.0,-0.025,0.0023,0.0
2026-09-04T16:55:19Z,2026-09-04 16:54:30,SPXW,2026-09-04,C,7000.0,7723.3198,722.1,10.0,723.4,7.0,714.0,1.0,4636.0,1.5292,0.9996,0.0,-0.025,0.0024,0.0
2026-09-04T16:55:19Z,2026-09-04 16:54:30,SPXW,2026-09-04,P,7000.0,7723.3198,0.0,0.0,0.05,2025.0,0.05,0.0,9232.0,1.5229,-0.0004,0.0,-0.025,0.0024,0.0
2026-09-04T16:55:19Z,2026-09-04 16:54:30,SPXW,2026-09-04,C,7010.0,7723.3198,702.4,1.0,723.6,1.0,736.3,0.0,2.0,1.8421,0.9995,0.0,-0.025,0.0024,0.0
2026-09-04T16:55:19Z,2026-09-04 16:54:30,SPXW,2026-09-04,P,7010.0,7723.3198,0.0,0.0,0.05,1175.0,0.07,0.0,283.0,1.5023,-0.0005,0.0,-0.025,0.0024,0.0
2026-09-04T16:55:19Z,2026-09-04 16:54:30,SPXW,2026-09-04,C,7020.0,7723.3198,692.4,1.0,713.6,1.0,0.0,0.0,0.0,1.8175,0.9995,0.0,-0.025,0.0024,0.0
2026-09-04T16:55:19Z,2026-09-04 16:54:30,SPXW,2026-09-04,P,7020.0,7723.3198,0.0,0.0,0.05,1171.0,0.15,0.0,343.0,1.4817,-0.0005,0.0,-0.025,0.0024,0.0
2026-09-04T16:55:19Z,2026-09-04 16:54:30,SPXW,2026-09-04,C,7025.0,7723.3198,687.3,1.0,708.6,1.0,649.44,0.0,1.0,1.7698,0.9995,0.0,-0.025,0.0024,0.0
2026-09-04T16:55:19Z,2026-09-04 16:54:30,SPXW,2026-09-04,P,7025.0,7723.3198,0.0,0.0,0.05,1817.0,0.05,1.0,2877.0,1.4714,-0.0005,0.0,-0.025,0.0024,0.0
2026-09-04T16:55:19Z,2026-09-04 16:54:30,SPXW,2026-09-04,C,7030.0,7723.3198,682.3,1.0,703.6,1.0,611.47,0.0,1.0,1.7578,0.9995,0.0,-0.025,0.0025,0.0
2026-09-04T16:55:19Z,2026-09-04 16:54:30,SPXW,2026-09-04,P,7030.0,7723.3198,0.0,0.0,0.05,1168.0,0.05,0.0,110.0,1.4611,-0.0005,0.0,-0.025,0.0025,0.0
2026-09-04T16:55:19Z,2026-09-04 16:54:30,SPXW,2026-09-04,C,7040.0,7723.3198,673.3,1.0,693.8,1.0,705.29,0.0,2.0,1.9972,0.9995,0.0,-0.025,0.0025,0.0
2026-09-04T16:55:19Z,2026-09-04 16:54:30,SPXW,2026-09-04,P,7040.0,7723.3198,0.0,0.0,0.05,1166.0,0.05,0.0,260.0,1.4405,-0.0005,0.0,-0.025,0.0025,0.0
2026-09-04T16:55:19Z,2026-09-04 16:54:30,SPXW,2026-09-04,C,7050.0,7723.3198,663.0,1.0,683.5,1.0,696.42,0.0,183.0,1.8684,0.9995,0.0,-0.025,0.0025,0.0
2026-09-04T16:55:19Z,2026-09-04 16:54:30,SPXW,2026-09-04,P,7050.0,7723.3198,0.0,0.0,0.05,1809.0,0.03,209.0,4420.0,1.4199,-0.0005,0.0,-0.025,0.0025,0.0
2026-09-04T16:55:19Z,2026-09-04 16:54:30,SPXW,2026-09-04,C,7060.0,7723.3198,652.4,1.0,673.6,1.0,693.1,0.0,1.0,1.7194,0.9995,0.0,-0.025,0.0026,0.0
2026-09-04T16:55:19Z,2026-09-04 16:54:30,SPXW,2026-09-04,P,7060.0,7723.3198,0.0,0.0,0.05,1718.0,0.05,66.0,380.0,1.3993,-0.0005,0.0,-0.025,0.0026,0.0
2026-09-04T16:55:19Z,2026-09-04 16:54:30,SPXW,2026-09-04,C,7070.0,7723.3198,642.4,1.0,663.6,1.0,637.62,2.0,2.0,1.6949,0.9995,0.0,-0.025,0.0026,0.0
2026-09-04T16:55:19Z,2026-09-04 16:54:30,SPXW,2026-09-04,P,7070.0,7723.3198,0.0,0.0,0.05,1154.0,0.15,0.0,192.0,1.3788,-0.0005,0.0,-0.025,0.0026,0.0
2026-09-04T16:55:19Z,2026-09-04 16:54:30,SPXW,2026-09-04,C,7075.0,7723.3198,637.4,1.0,658.6,1.0,670.92,0.0,73.0,1.6827,0.9995,0.0,-0.025,0.0026,0.0
2026-09-04T16:55:19Z,2026-09-04 16:54:30,SPXW,2026-09-04,P,7075.0,7723.3198,0.0,0.0,0.05,1549.0,0.05,125.0,1030.0,1.3685,-0.0005,0.0,-0.025,0.0026,0.0
2026-09-04T16:55:19Z,2026-09-04 16:54:30,SPXW,2026-09-04,C,7080.0,7723.3198,632.4,1.0,653.6,1.0,673.25,0.0,69.0,1.6704,0.9995,0.0,-0.025,0.0026,0.0
2026-09-04T16:55:19Z,2026-09-04 16:54:30,SPXW,2026-09-04,P,7080.0,7723.3198,0.0,0.0,0.05,1041.0,0.1,0.0,96.0,1.3582,-0.0005,0.0,-0.025,0.0026,0.0
2026-09-04T16:55:19Z,2026-09-04 16:54:30,SPXW,2026-09-04,C,7090.0,7723.3198,622.4,1.0,643.6,1.0,661.03,0.0,2.0,1.6459,0.9995,0.0,-0.025,0.0027,0.0
2026-09-04T16:55:19Z,2026-09-04 16:54:30,SPXW,2026-09-04,P,7090.0,7723.3198,0.0,0.0,0.05,1429.0,0.05,96.0,476.0,1.3377,-0.0005,0.0,-0.025,0.0027,0.0
2026-09-04T16:55:19Z,2026-09-04 16:54:30,SPXW,2026-09-04,C,7100.0,7723.3198,613.0,1.0,633.5,1.0,607.3,2.0,18.0,1.7387,0.9995,0.0,-0.025,0.0027,0.0
2026-09-04T16:55:19Z,2026-09-04 16:54:30,SPXW,2026-09-04,P,7100.0,7723.3198,0.0,0.0,0.05,2629.0,0.07,0.0,1571.0,1.3172,-0.0005,0.0,-0.025,0.0027,0.0
2026-09-04T16:55:19Z,2026-09-04 16:54:30,SPXW,2026-09-04,C,7110.0,7723.3198,603.2,1.0,623.8,1.0,631.57,0.0,2.0,1.7937,0.9995,0.0,-0.025,0.0027,0.0
2026-09-04T16:55:19Z,2026-09-04 16:54:30,SPXW,2026-09-04,P,7110.0,7723.3198,0.0,0.0,0.05,1987.0,0.05,0.0,268.0,1.2967,-0.0005,0.0,-0.025,0.0027,0.0
2026-09-04T16:55:19Z,2026-09-04 16:54:30,SPXW,2026-09-04,C,7120.0,7723.3198,592.4,1.0,613.6,1.0,566.09,0.0,8.0,1.5724,0.9995,0.0,-0.025,0.0028,0.0
2026-09-04T16:55:19Z,2026-09-04 16:54:30,SPXW,2026-09-04,P,7120.0,7723.3198,0.0,0.0,0.05,2083.0,0.05,0.0,421.0,1.2762,-0.0005,0.0,-0.025,0.0028,0.0
2026-09-04T16:55:19Z,2026-09-04 16:54:30,SPXW,2026-09-04,C,7125.0,7723.3198,587.6,1.0,608.6,1.0,617.56,0.0,17.0,1.6122,0.9995,0.0,-0.025,0.0028,0.0
2026-09-04T16:55:19Z,2026-09-04 16:54:30,SPXW,2026-09-04,P,7125.0,7723.3198,0.0,0.0,0.05,2611.0,0.05,28.0,840.0,1.2659,-0.0005,0.0,-0.025,0.0028,0.0
2026-09-04T16:55:19Z,2026-09-04 16:54:30,SPXW,2026-09-04,C,7130.0,7723.3198,582.6,1.0,603.6,1.0,540.75,0.0,1.0,1.5996,0.9995,0.0,-0.025,0.0028,0.0
2026-09-04T16:55:19Z,2026-09-04 16:54:30,SPXW,2026-09-04,P,7130.0,7723.3198,0.0,0.0,0.05,2414.0,0.05,0.0,3830.0,1.2557,-0.0005,0.0,-0.025,0.0028,0.0
2026-09-04T16:55:19Z,2026-09-04 16:54:30,SPXW,2026-09-04,C,7140.0,7723.3198,573.2,1.0,593.9,3.0,514.7,0.0,7.0,1.7263,0.9994,0.0,-0.025,0.0029,0.0
2026-09-04T16:55:19Z,2026-09-04 16:54:30,SPXW,2026-09-04,P,7140.0,7723.3198,0.0,0.0,0.05,2401.0,0.07,0.0,12524.0,1.2352,-0.0006,0.0,-0.025,0.0029,0.0
2026-09-04T16:55:19Z,2026-09-04 16:54:30,SPXW,2026-09-04,C,7150.0,7723.3198,563.2,1.0,583.9,3.0,479.56,0.0,15.0,1.6992,0.9994,0.0,-0.025,0.0029,0.0
2026-09-04T16:55:19Z,2026-09-04 16:54:30,SPXW,2026-09-04,P,7150.0,7723.3198,0.0,0.0,0.05,2589.0,0.1,0.0,24630.0,1.2147,-0.0006,0.0,-0.025,0.0029,0.0
2026-09-04T16:55:19Z,2026-09-04 16:54:30,SPXW,2026-09-04,C,7160.0,7723.3198,553.2,1.0,573.9,3.0,523.6,0.0,6.0,1.6721,0.9994,0.0,-0.025,0.003,0.0
2026-09-04T16:55:19Z,2026-09-04 16:54:30,SPXW,2026-09-04,P,7160.0,7723.3198,0.0,0.0,0.05,1978.0,0.1,0.0,1703.0,1.1942,-0.0006,0.0,-0.025,0.003,0.0
2026-09-04T16:55:19Z,2026-09-04 16:54:30,SPXW,2026-09-04,C,7170.0,7723.3198,543.2,1.0,563.9,3.0,0.0,0.0,0.0,1.645,0.9994,0.0,-0.025,0.003,0.0
2026-09-04T16:55:19Z,2026-09-04 16:54:30,SPXW,2026-09-04,P,7170.0,7723.3198,0.0,0.0,0.05,2088.0,0.07,0.0,735.0,1.1738,-0.0006,0.0,-0.025,0.003,0.0
2026-09-04T16:55:19Z,2026-09-04 16:54:30,SPXW,2026-09-04,C,7175.0,7723.3198,538.2,1.0,558.7,1.0,455.75,0.0,115.0,1.6052,0.9994,0.0,-0.025,0.003,0.0
2026-09-04T16:55:19Z,2026-09-04 16:54:30,SPXW,2026-09-04,P,7175.0,7723.3198,0.0,0.0,0.05,2517.0,0.05,13.0,533.0,1.1635,-0.0006,0.0,-0.025,0.003,0.0
2026-09-04T16:55:19Z,2026-09-04 16:54:30,SPXW,2026-09-04,C,7180.0,7723.3198,533.2,1.0,553.7,1.0,286.2,0.0,1.0,1.5919,0.9994,0.0,-0.025,0.0031,0.0
2026-09-04T16:55:19Z,2026-09-04 16:54:30,SPXW,2026-09-04,P,7180.0,7723.3198,0.0,0.0,0.05,2037.0,0.1,0.0,299.0,1.1533,-0.0006,0.0,-0.025,0.0031,0.0
2026-09-04T16:55:19Z,2026-09-04 16:54:30,SPXW,2026-09-04,C,7185.0,7723.3198,528.2,1.0,548.7,1.0,0.0,0.0,0.0,1.5785,0.9994,0.0,-0.025,0.0031,0.0
2026-09-04T16:55:19Z,2026-09-04 16:54:30,SPXW,2026-09-04,P,7185.0,7723.3198,0.0,0.0,0.05,2086.0,0.1,0.0,114.0,1.143,-0.0006,0.0,-0.025,0.0031,0.0
2026-09-04T16:55:19Z,2026-09-04 16:54:30,SPXW,2026-09-04,C,7190.0,7723.3198,523.1,1.0,543.6,1.0,493.43,0.0,5.0,1.5368,0.9994,0.0,-0.025,0.0031,0.0
2026-09-04T16:55:19Z,2026-09-04 16:54:30,SPXW,2026-09-04,P,7190.0,7723.3198,0.0,0.0,0.05,2739.0,0.05,1.0,1826.0,1.1328,-0.0006,0.0,-0.025,0.0031,0.0
2026-09-04T16:55:19Z,2026-09-04 16:54:30,SPXW,2026-09-04,C,7195.0,7723.3198,518.1,1.0,538.6,1.0,0.0,0.0,0.0,1.5236,0.9994,0.0,-0.025,0.0031,0.0
2026-09-04T16:55:19Z,2026-09-04 16:54:30,SPXW,2026-09-04,P,7195.0,7723.3198,0.0,0.0,0.05,2721.0,0.1,0.0,12.0,1.1226,-0.0006,0.0,-0.025,0.0031,0.0
2026-09-04T16:55:19Z,2026-09-04 16:54:30,SPXW,2026-09-04,C,7200.0,7723.3198,512.9,1.0,533.4,1.0,517.45,5.0,37.0,1.4436,0.9994,0.0,-0.025,0.0032,0.0
2026-09-04T16:55:19Z,2026-09-04 16:54:30,SPXW,2026-09-04,P,7200.0,7723.3198,0.0,0.0,0.05,2968.0,0.03,2.0,5513.0,1.1124,-0.0006,0.0,-0.025,0.0032,0.0
2026-09-04T16:55:19Z,2026-09-04 16:54:30,SPXW,2026-09-04,C,7205.0,7723.3198,508.1,1.0,528.6,1.0,0.0,0.0,0.0,1.4972,0.9994,0.0,-0.025,0.0032,0.0
2026-09-04T16:55:19Z,2026-09-04 16:54:30,SPXW,2026-09-04,P,7205.0,7723.3198,0.0,0.0,0.05,2374.0,0.2,0.0,6.0,1.1021,-0.0006,0.0,-0.025,0.0032,0.0
2026-09-04T16:55:19Z,2026-09-04 16:54:30,SPXW,2026-09-04,C,7210.0,7723.3198,503.1,1.0,523.6,1.0,468.04,0.0,8.0,1.484,0.9994,0.0,-0.025,0.0032,0.0
2026-09-04T16:55:19Z,2026-09-04 16:54:30,SPXW,2026-09-04,P,7210.0,7723.3198,0.0,0.0,0.05,2354.0,0.12,0.0,488.0,1.0919,-0.0006,0.0,-0.025,0.0032,0.0
2026-09-04T16:55:19Z,2026-09-04 16:54:30,SPXW,2026-09-04,C,7215.0,7723.3198,498.1,1.0,518.6,1.0,0.0,0.0,0.0,1.4708,0.9994,0.0,-0.025,0.0032,0.0
2026-09-04T16:55:19Z,2026-09-04 16:54:30,SPXW,2026-09-04,P,7215.0,7723.3198,0.0,0.0,0.05,2330.0,0.07,0.0,12.0,1.0817,-0.0006,0.0,-0.025,0.0032,0.0
2026-09-04T16:55:19Z,2026-09-04 16:54:30,SPXW,2026-09-04,C,7220.0,7723.3198,493.1,1.0,513.6,1.0,452.66,0.0,12.0,1.4575,0.9994,0.0,-0.025,0.0033,0.0
2026-09-04T16:55:19Z,2026-09-04 16:54:30,SPXW,2026-09-04,P,7220.0,7723.3198,0.0,0.0,0.05,2299.0,0.1,0.0,417.0,1.0715,-0.0006,0.0,-0.025,0.0033,0.0
2026-09-04T16:55:19Z,2026-09-04 16:54:30,SPXW,2026-09-04,C,7225.0,7723.3198,488.1,1.0,508.6,1.0,501.0,0.0,57.0,1.4443,0.9994,0.0,-0.025,0.0033,0.0
2026-09-04T16:55:19Z,2026-09-04 16:54:30,SPXW,2026-09-04,P,7225.0,7723.3198,0.0,0.0,0.05,2402.0,0.05,32.0,607.0,1.0612,-0.0006,0.0,-0.025,0.0033,0.0
2026-09-04T16:55:19Z,2026-09-04 16:54:30,SPXW,2026-09-04,C,7230.0,7723.3198,483.4,1.0,503.9,3.0,430.53,0.0,4.0,1.5044,0.9994,0.0,-0.025,0.0033,0.0
2026-09-04T16:55:19Z,2026-09-04 16:54:30,SPXW,2026-09-04,P,7230.0,7723.3198,0.0,0.0,0.05,2249.0,0.05,45.0,3806.0,1.051,-0.0006,0.0,-0.025,0.0033,0.0
2026-09-04T16:55:19Z,2026-09-04 16:54:30,SPXW,2026-09-04,C,7235.0,7723.3198,478.4,1.0,498.9,3.0,0.0,0.0,0.0,1.4906,0.9994,0.0,-0.025,0.0034,0.0
